Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2022,4,Santa Cruz,43.53,12.95
2022,4,Santa Fe,78.4,24.65
2022,4,Santiago Del Estero,48.05,11.92
2022,4,Tierra Del Fuego,101.44,30.07
2022,4,Tucumán,61.04,15.12
2022,3,Buenos Aires,78.11,26.37
2022,3,Capital Federal,122.28,50.22
2022,3,Catamarca,65.33,16.62
2022,3,Chaco,43.86,11.72
2022,3,Chubut,84.38,25.86
2022,3,Córdoba,88.31,27.04
2022,3,Corrientes,48.21,12.69
2022,3,Entre Ríos,63.67,19.04
2022,3,Formosa,43.76,11.14
2022,3,Jujuy,58.91,15.06
2022,3,La Pampa,96.59,31.82
2022,3,La Rioja,80.66,21.47
2022,3,Mendoza,51.03,14.24
2022,3,Misiones,51.82,14.11
2022,3,Neuquén,80.37,23.92
2022,3,Río Negro,67.98,20.91
2022,3,Salta,57.76,13.99
2022,3,San Juan,50.8,12.94
2022,3,San Luis,81.74,23.39
2022,3,Santa Cruz,43.19,12.85
2022,3,Santa Fe,78.55,24.7
2022,3,Santiago Del Estero,47.98,11.91
2022,3,Tierra Del Fuego,99.51,29.5
2022,3,Tucumán,61.14,15.14
2022,2,Buenos Aires,77.58,26.1292712783274
2022,2,Capital Federal,121.31,49.8735612562611
2022,2,Catamarca,62.4,15.8717901952471
2022,2,Chaco,43.79,11.7025439036955
2022,2,Chubut,83.19,25.4999193362706
2022,2,Córdoba,87.48,26.7815908411335
2022,2,Corrientes,48.35,12.7321469653836
2022,2,Entre Ríos,63.9,19.1046859506594
2022,2,Formosa,43.42,11.0498145911401
2022,2,Jujuy,57.32,14.6569135245407
2022,2,La Pampa,92.98,30.6327215596658
2022,2,La Rioja,80.14,21.3314092169144
2022,2,Mendoza,49.39,13.7822337845706
2022,2,Misiones,51.0,13.8900281819679
2022,2,Neuquén,80.02,23.8174575281712
2022,2,Río Negro,67.85,20.8675435273834
2022,2,Salta,57.54,13.9360105574487
2022,2,San Juan,49.46,12.5979124556312
2022,2,San Luis,81.76,23.3969726787719
2022,2,Santa Cruz,43.15,12.8396228385264
2022,2,Santa Fe,77.9,24.4959067991646
2022,2,Santiago Del Estero,47.7,11.8367379681289
2022,2,Tierra Del Fuego,99.86,29.604955264969
