Provincia,Año,Accesos por cada 100 hogares,Accesos por cada 100 hab
Santiago Del Estero,2023,192.44,47.76
Santiago Del Estero,2024,99.08,24.59
Tierra Del Fuego,2014,196.1799666897445,57.772588880064305
Tierra Del Fuego,2015,290.0634881933263,85.7530499075468
Tierra Del Fuego,2016,272.7970429103051,80.6139392635452
Tierra Del Fuego,2017,263.018909969421,77.9880495706411
Tierra Del Fuego,2018,343.1693225749991,101.74864686233741
Tierra Del Fuego,2019,364.331324502142,108.0189615586858
Tierra Del Fuego,2020,305.5140632068536,90.5760302051441
Tierra Del Fuego,2021,338.5896485525701,100.3790413282244
Tierra Del Fuego,2022,399.1005503867279,118.3136063056549
Tierra Del Fuego,2023,427.05,126.6
Tierra Del Fuego,2024,218.67000000000002,64.82
Tucumán,2014,103.20915787722859,25.48438237052693
Tucumán,2015,144.4388453056156,35.72287270549241
Tucumán,2016,149.83857987360778,37.05978823494371
Tucumán,2017,155.6786470942462,38.56541194754182
Tucumán,2018,166.1275557929489,41.1531065286303
Tucumán,2019,168.90341097478608,41.83984687329158
Tucumán,2020,207.6402180937946,51.4344220755364
Tucumán,2021,220.30915493685382,54.5714548665421
Tucumán,2022,238.8800322723119,59.1669906242109
Tucumán,2023,243.39,60.29
Tucumán,2024,121.32,30.05
